year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2019,6,22,11,173,4139.0,46.0,22.87091902110864,51.88872390886792,18.610000000000014,0.98,0.984
2019,6,26,11,177,4235.0,13.0,22.941001337272418,52.005297188439755,22.110000000000014,0.982,0.984
2019,6,27,10,178,4258.0,60.0,31.496883586771922,28.013970557311936,24.33000000000004,0.98,0.984
2019,7,1,11,182,4355.0,39.0,23.15981288132752,52.36457031451096,22.29000000000002,0.982,0.984
2019,7,3,11,184,4403.0,23.0,23.288106514210853,52.571986733275025,26.890000000000043,0.982,0.984
2019,7,7,10,188,4498.0,20.0,32.00539598794133,29.086939270649566,22.250000000000057,0.98,0.984
2019,7,12,11,193,4619.0,13.0,24.152447257183958,53.91092683755636,25.010000000000048,0.982,0.984
2019,7,14,10,195,4666.0,9.0,32.6386458645619,30.364630697316144,26.370000000000005,0.982,0.984
2019,7,16,10,197,4714.0,29.0,32.86175523162061,30.80040934458451,22.33000000000004,0.98,0.984
2019,7,19,11,200,4787.0,23.0,25.145958248881517,55.33613059228395,25.410000000000025,0.982,0.984
2019,7,20,12,201,4812.0,63.0,21.966454195067712,90.08540211413234,17.150000000000034,0.98,0.982
2019,7,29,10,210,5026.0,60.0,34.767878677412405,34.25609466260403,24.090000000000032,0.98,0.984
2019,7,31,11,212,5075.0,51.0,27.480269349144326,58.29114218641743,25.350000000000023,0.98,0.984
2019,8,4,11,216,5171.0,23.0,28.42654162547759,59.35890381426779,23.83000000000004,0.98,0.984
2019,8,9,11,221,5291.0,46.0,29.719468080966557,60.7174935952323,22.05000000000001,0.98,0.984
2019,8,11,11,223,5339.0,32.0,30.26923517923675,61.26366037228411,19.07000000000005,0.982,0.984
2019,8,15,10,227,5434.0,9.0,38.40859775033851,39.8146605442781,20.810000000000002,0.982,0.984
2019,8,24,10,236,5650.0,20.0,40.806362635933255,42.92582125915172,18.49000000000001,0.982,0.984
2019,8,28,10,240,5746.0,51.0,41.96080658624926,44.30244025136213,21.390000000000043,0.98,0.984
2019,9,3,11,246,5891.0,39.0,37.69764518420648,67.2819963897521,20.150000000000034,0.982,0.984
2019,9,7,11,250,5987.0,2.0,39.14783019179728,68.23479733134226,17.510000000000048,0.982,0.984
2019,9,8,10,251,6010.0,64.0,45.36380656088979,47.98652259883036,16.010000000000048,0.98,0.982
2019,9,24,10,267,6394.0,64.0,50.69751160154234,52.88544793260672,16.230000000000018,0.98,0.982
2019,10,26,11,299,7163.0,56.0,57.04574153132195,76.71821684576156,6.770000000000039,0.98,0.984
2019,12,11,11,345,8267.0,63.0,66.352592740031,79.6113031907193,-4.189999999999998,0.992,0.99
2019,12,19,11,353,8459.0,13.0,66.64976175878373,79.69172449635147,-12.369999999999948,0.98,0.984
2019,12,28,11,362,8675.0,2.0,66.46698727859868,79.64234096081827,3.1900000000000546,0.982,0.984
2020,1,1,10,1,10.0,38.0,69.57054212050544,65.1125922325964,-3.7099999999999795,0.992,0.99
2020,1,9,11,9,203.0,39.0,65.38200298377015,79.34389522411638,-7.25,0.982,0.984
2020,1,10,10,10,226.0,45.0,68.6758354435442,64.65521059073438,1.3100000000000023,0.98,0.984
2020,1,11,11,11,251.0,23.0,65.11037135712388,79.26773847936786,7.110000000000014,0.982,0.984
2020,1,12,11,12,275.0,63.0,64.96510708436745,79.22677117807888,10.650000000000034,0.98,0.982
2020,1,20,11,20,467.0,13.0,63.58268140164994,78.82839030916577,-9.049999999999955,0.982,0.984
2020,1,21,11,21,491.0,60.0,63.383159333058586,78.7695997974287,-9.949999999999989,0.98,0.984
2020,1,29,11,29,683.0,3.0,61.5860924101487,78.22488686297666,-1.5299999999999727,0.98,0.984
2020,2,7,10,38,898.0,8.0,63.05259172923352,61.55047931345291,-6.7099999999999795,0.994,0.99
2020,2,14,11,45,1067.0,3.0,57.04400015841622,76.71760061132255,-7.75,0.994,0.99
2020,2,17,11,48,1139.0,47.0,56.074179965924685,76.36953652607644,1.990000000000009,0.98,0.984
