year,month,day,doy,index,tto,tts,psi,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
2020,3,27,87,451,52.14,40.02,242.32,0.049600000000000005,0.1734,0.0223,0.040600000000000004,0.198,0.1466,0.0772
2020,4,6,97,461,36.68,40.34,49.08999999999999,0.07150000000000001,0.24050000000000002,0.031100000000000003,0.0562,0.3195,0.2591,0.1517
2020,4,11,102,466,8.08,36.77,50.14999999999999,0.0766,0.23850000000000002,0.0342,0.056600000000000004,0.31570000000000004,0.2526,0.1442
2020,4,19,110,474,56.58,31.2,244.9,0.0453,0.17450000000000002,0.0196,0.0383,0.20620000000000002,0.14730000000000001,0.07780000000000001
2020,4,23,114,478,32.36,30.82,237.48,0.0589,0.19210000000000002,0.0263,0.047900000000000005,0.25320000000000004,0.20570000000000002,0.11620000000000001
2020,4,25,116,480,13.450000000000001,30.98,236.22000000000003,0.0678,0.21250000000000002,0.0309,0.0526,0.2806,0.22560000000000002,0.1293
2020,5,2,123,487,23.28,28.42,234.40000000000003,0.0651,0.2025,0.028300000000000002,0.05,0.26730000000000004,0.219,0.1252
2020,5,5,126,490,56.370000000000005,26.16,244.75,0.0441,0.1746,0.0195,0.0417,0.2122,0.1623,0.08220000000000001
2020,5,13,134,498,8.71,27.17,44.36,0.0789,0.2555,0.0357,0.0632,0.332,0.2731,0.1597
2020,5,14,135,499,51.730000000000004,23.990000000000002,242.0,0.0451,0.1849,0.0212,0.040600000000000004,0.2257,0.1756,0.0888
2020,5,15,136,500,28.89,28.080000000000002,43.19,0.1095,0.27190000000000003,0.07780000000000001,0.10020000000000001,0.3309,0.2657,0.15510000000000002
2020,5,19,140,504,55.59,30.54,35.780000000000015,0.0685,0.2968,0.0359,0.0737,0.3355,0.22760000000000002,0.1174
2020,5,20,141,505,2.39,25.17,242.56,0.0614,0.2585,0.0291,0.061500000000000006,0.3146,0.2335,0.1217
2020,5,22,143,507,19.34,26.12,40.879999999999995,0.0668,0.3098,0.0324,0.0756,0.3516,0.2451,0.11900000000000001
2020,5,24,145,509,37.25,27.3,38.010000000000005,0.0533,0.321,0.0261,0.0713,0.3402,0.22290000000000001,0.10060000000000001
2020,5,26,147,511,50.480000000000004,28.7,34.97999999999999,0.041600000000000005,0.3642,0.0205,0.07300000000000001,0.35950000000000004,0.20950000000000002,0.08120000000000001
2020,5,27,148,512,13.17,23.48,230.45,0.036500000000000005,0.3279,0.018500000000000003,0.0611,0.3287,0.19210000000000002,0.0772
2020,5,31,152,516,28.990000000000002,25.71,38.79999999999998,0.037700000000000004,0.43270000000000003,0.0198,0.0719,0.41140000000000004,0.22210000000000002,0.0874
2020,6,10,162,526,31.990000000000002,21.12,230.2,0.0229,0.40280000000000005,0.0128,0.0442,0.3521,0.163,0.0523
2020,6,12,164,528,12.98,22.16,223.48000000000002,0.029500000000000002,0.3668,0.0152,0.0472,0.3432,0.18100000000000002,0.0694
2020,6,16,168,532,28.990000000000002,25.0,35.14999999999999,0.0344,0.43970000000000004,0.0182,0.0592,0.4152,0.22310000000000002,0.0843
2020,6,17,169,533,39.65,20.46,230.96,0.0219,0.3478,0.0111,0.0392,0.3099,0.14800000000000002,0.047
2020,6,18,170,534,44.480000000000004,26.72,31.989999999999995,0.033600000000000005,0.43960000000000005,0.0162,0.057600000000000005,0.41100000000000003,0.2243,0.0804
2020,6,21,173,537,2.13,22.81,216.06,0.0303,0.3895,0.0149,0.0489,0.37120000000000003,0.2078,0.078
