year,month,day,hour,doy,wind_u
2020,2,19,9,50,2.834785066700617
2020,2,19,10,50,2.8679609257889647
2020,2,19,11,50,2.8710586740233053
2020,2,19,12,50,2.889495007493726
2020,2,19,13,50,2.9057032458569427
2020,2,19,14,50,2.8649812689414933
2020,2,19,15,50,2.7967025495909987
2020,2,19,16,50,2.6751513197060977
2020,2,19,17,50,2.6164098484540075
2020,2,19,18,50,2.5959135632417913
2020,2,19,19,50,2.5847793442030884
2020,2,19,20,50,2.5723930436387157
2020,2,19,21,50,2.554298471334265
2020,2,19,22,50,2.5014717362337318
2020,2,19,23,50,2.4318142412868875
2020,2,20,0,51,2.3935448113199085
2020,2,20,1,51,2.3919016987118935
2020,2,20,2,51,2.3732542084570065
2020,2,20,3,51,2.386507033899856
2020,2,20,4,51,2.3983912505544973
2020,2,20,5,51,2.3424683313439534
2020,2,20,6,51,2.288143947198037
2020,2,20,7,51,2.2553559909433756
2020,2,20,8,51,2.308275791441507
2020,2,20,9,51,2.412383906805145
2020,2,20,10,51,2.518566051029543
2020,2,20,11,51,2.5476134039504883
2020,2,20,12,51,2.653822138288486
2020,2,20,13,51,2.677137757604412
2020,2,20,14,51,2.660895890568114
2020,2,20,15,51,2.636154571925956
2020,2,20,16,51,2.5363376316599764
2020,2,20,17,51,2.449336344086785
2020,2,20,18,51,2.4068234448141936
2020,2,20,19,51,2.406182153839147
2020,2,20,20,51,2.3757560253218517
2020,2,20,21,51,2.310600080194968
2020,2,20,22,51,2.220132693107867
2020,2,20,23,51,2.1107644276245185
2020,2,21,0,52,2.0110397706939724
2020,2,21,1,52,1.956501101514931
2020,2,21,2,52,1.9258372260995698
2020,2,21,3,52,1.8785459270007179
2020,2,21,4,52,1.8660047781277362
2020,2,21,5,52,1.8804041067040231
2020,2,21,6,52,1.907282801242281
2020,2,21,7,52,1.9448194389609448
2020,2,21,8,52,2.007723827115684
2020,2,21,9,52,2.0690805142464996
2020,2,21,10,52,2.1031268085241486
2020,2,21,11,52,2.1383610552299626
2020,2,21,12,52,2.166434740755868
2020,2,21,13,52,2.210008898385945
2020,2,21,14,52,2.2831739421414268
2020,2,21,15,52,2.327697523239438
2020,2,21,16,52,2.317236659724534
2020,2,21,17,52,2.2085120314027264
2020,2,21,18,52,2.1612058731227455
2020,2,21,19,52,2.147752839765734
2020,2,21,20,52,2.186155220300711
2020,2,21,21,52,2.2172249859795468
2020,2,21,22,52,2.2281965360879936
2020,2,21,23,52,2.2257791819369346
2020,2,22,0,53,2.2035216927298347
2020,2,22,1,53,2.203146302890783
2020,2,22,2,53,2.2439341196647224
2020,2,22,3,53,2.246186849730114
2020,2,22,4,53,2.2338685885740697
2020,2,22,5,53,2.2203344651463572
2020,2,22,6,53,2.2251568559693817
2020,2,22,7,53,2.2217814756665764
2020,2,22,8,53,2.2568841404131814
2020,2,22,9,53,2.446177986034681
2020,2,22,10,53,2.5490889108608332
2020,2,22,11,53,2.5762861490945466
2020,2,22,12,53,2.5816667856665045
2020,2,22,13,53,2.5908361712741925
2020,2,22,14,53,2.5912352673726113
2020,2,22,15,53,2.5449176356687992
2020,2,22,16,53,2.431898704000674
2020,2,22,17,53,2.3620145087838407
2020,2,22,18,53,2.396972980818831
2020,2,22,19,53,2.378763836407253
2020,2,22,20,53,2.3455332329673766
2020,2,22,21,53,2.2962054439916697
2020,2,22,22,53,2.267358298984885
2020,2,22,23,53,2.2661421923187905
2020,2,23,0,54,2.2580603619088766
2020,2,23,1,54,2.234935565761134
2020,2,23,2,54,2.1926729263812437
2020,2,23,3,54,2.1305326129614075
2020,2,23,4,54,2.0952334550959244
2020,2,23,5,54,2.0860387502256548
2020,2,23,6,54,2.095254570774371
2020,2,23,7,54,2.0889331622971756
2020,2,23,8,54,2.069798447313686
2020,2,23,9,54,2.1511329124415277
2020,2,23,10,54,2.260959466353385
2020,2,23,11,54,2.2805211872787954
2020,2,23,12,54,2.299178844341824
2020,2,23,13,54,2.3365348257004444
2020,2,23,14,54,2.3749270394272797
2020,2,23,15,54,2.3265940335250592
2020,2,23,16,54,2.2190855118693458
2020,2,23,17,54,2.200326968787073
2020,2,23,18,54,2.1860222697327134
2020,2,23,19,54,2.1576678238896845
2020,2,23,20,54,2.1448435685130844
2020,2,23,21,54,2.1376235706086595
2020,2,23,22,54,2.1404178787230994
2020,2,23,23,54,2.141282057415083
2020,2,24,0,55,2.11979098912938
2020,2,24,1,55,2.075204060996029
2020,2,24,2,55,2.0212511563783404
2020,2,24,3,55,2.021499852146712
2020,2,24,4,55,2.0152965350563843
2020,2,24,5,55,2.000087772139643
2020,2,24,6,55,2.0097478039979038
2020,2,24,7,55,2.0064952074549547
2020,2,24,8,55,2.021667213449956
2020,2,24,9,55,2.077560414298242
2020,2,24,10,55,2.1240282019376746
2020,2,24,11,55,2.1566026552213753
2020,2,24,12,55,2.1974998140617155
2020,2,24,13,55,2.253641710678373
2020,2,24,14,55,2.294182249171614
2020,2,24,15,55,2.2411076003648738
2020,2,24,16,55,2.10940754976878
2020,2,24,17,55,2.0170358413106566
2020,2,24,18,55,1.9763670446224066
2020,2,24,19,55,2.0353157623481395
2020,2,24,20,55,2.129229697395033
2020,2,24,21,55,2.0607671934358365
2020,2,24,22,55,1.9458752228832774
2020,2,24,23,55,2.0013156097382074
2020,2,25,0,56,1.9804009212678817
2020,2,25,1,56,1.8613885584428784
2020,2,25,2,56,1.840197655391761
2020,2,25,3,56,1.855228743560462
2020,2,25,4,56,1.89087875406458
2020,2,25,5,56,1.911097798239413
2020,2,25,6,56,1.9098459122292843
2020,2,25,7,56,1.9494561388987406
2020,2,25,8,56,1.9400271086523755
2020,2,25,9,56,1.9125301939729296
2020,2,25,10,56,1.8999714487012427
2020,2,25,11,56,1.8892246437073736
2020,2,25,12,56,1.8411383295392278
2020,2,25,13,56,1.8447091276254355
2020,2,25,14,56,1.8545952732070625
2020,2,25,15,56,1.9207759152852324
2020,2,25,16,56,1.850094505449267
2020,2,25,17,56,1.6768567870999513
2020,2,25,18,56,1.6336893017955139
2020,2,25,19,56,1.5956701317212358
2020,2,25,20,56,1.6156236657911567
2020,2,25,21,56,1.6855173435117372
2020,2,25,22,56,1.6991690206585797
2020,2,25,23,56,1.7052894391594497
2020,2,26,0,57,1.7124726801421346
2020,2,26,1,57,1.7144888364027073
2020,2,26,2,57,1.7294864425349827
2020,2,26,3,57,1.7311819533080324
2020,2,26,4,57,1.7131124069928516
2020,2,26,5,57,1.7145091700189894
2020,2,26,6,57,1.7184093140343024
2020,2,26,7,57,1.7060151928482827
2020,2,26,8,57,1.674682654282111
2020,2,26,9,57,1.6035814725792479
2020,2,26,10,57,1.556857950611961
2020,2,26,11,57,1.57927028812767
2020,2,26,12,57,1.588433710511352
2020,2,26,13,57,1.5562307367558792
2020,2,26,14,57,1.4585926216807281
2020,2,26,15,57,1.4647208608032452
2020,2,26,16,57,1.495516904724439
2020,2,26,17,57,1.480541196332775
2020,2,26,18,57,1.4523165728090845
2020,2,26,19,57,1.4188497865954717
2020,2,26,20,57,1.3919976821708133
2020,2,26,21,57,1.362664876559756
2020,2,26,22,57,1.363299911037485
2020,2,26,23,57,1.3338435396044064
2020,2,27,0,58,1.2727292917446444
2020,2,27,1,58,1.2102198449830741
2020,2,27,2,58,1.1513243074845403
2020,2,27,3,58,1.0851430788597467
2020,2,27,4,58,1.000160293733622
2020,2,27,5,58,0.9537589813781882
2020,2,27,6,58,0.9048386467902854
2020,2,27,7,58,1.0465975809486319
2020,2,27,8,58,1.3715835134858896
2020,2,27,9,58,1.9414432765959746
2020,2,27,10,58,2.687523543151506
2020,2,27,11,58,2.8570237864157644
2020,2,27,12,58,2.9491905945867387
2020,2,27,13,58,3.0654488277410126
2020,2,27,14,58,3.15573555846807
2020,2,27,15,58,3.141365166191877
2020,2,27,16,58,3.029854050377276
2020,2,27,17,58,2.9108828435736895
2020,2,27,18,58,2.861448694143585
2020,2,27,19,58,2.9090770620354185
2020,2,27,20,58,2.932944817239617
2020,2,27,21,58,2.8955943103161497
2020,2,27,22,58,2.8690135814626387
2020,2,27,23,58,2.8333374696337748
2020,2,28,0,59,2.7879606587140855
2020,2,28,1,59,2.832373969046875
2020,2,28,2,59,3.016324374928125
2020,2,28,3,59,2.965177509357348
2020,2,28,4,59,2.903788757677779
2020,2,28,5,59,2.887774470731406
2020,2,28,6,59,2.8787526015995333
2020,2,28,7,59,2.94608815397941
2020,2,28,8,59,3.066730627628941
2020,2,28,9,59,3.0493203597185943
2020,2,28,10,59,3.0187041900952796
2020,2,28,11,59,2.995398737587494
2020,2,28,12,59,2.984840898364168
2020,2,28,13,59,2.9631988920806798
2020,2,28,14,59,2.8961159457799983
2020,2,28,15,59,2.8611781006346018
2020,2,28,16,59,2.7503911743845046
2020,2,28,17,59,2.569188152887813
2020,2,28,18,59,2.44219142415017
2020,2,28,19,59,2.262094238554351
2020,2,28,20,59,2.193557438689509
