year,month,day,hour,doy,wind_u
2019,6,11,0,162,2.3882547873529463
2019,6,11,1,162,2.390836859918097
2019,6,11,2,162,2.3671773992018124
2019,6,11,3,162,2.3357526451948845
2019,6,11,4,162,2.3023554746451333
2019,6,11,5,162,2.2569647143745426
2019,6,11,6,162,2.2021647260196864
2019,6,11,7,162,2.1846590523122495
2019,6,11,8,162,2.2237914913123418
2019,6,11,9,162,2.3032180730597025
2019,6,11,10,162,2.354162883626313
2019,6,11,11,162,2.389986851396354
2019,6,11,12,162,2.432332002138635
2019,6,11,13,162,2.427008003520628
2019,6,11,14,162,2.4511321457357824
2019,6,11,15,162,2.420458588667504
2019,6,11,16,162,2.3656303684317646
2019,6,11,17,162,2.3153921179110553
2019,6,11,18,162,2.3453251603739913
2019,6,11,19,162,2.313997691902541
2019,6,11,20,162,2.3039318818317764
2019,6,11,21,162,2.3250420800066403
2019,6,11,22,162,2.3542586431141754
2019,6,11,23,162,2.365316002623005
2019,6,12,0,163,2.337376359857603
2019,6,12,1,163,2.300246476840737
2019,6,12,2,163,2.3048803204247084
2019,6,12,3,163,2.313302195701851
2019,6,12,4,163,2.30691225282453
2019,6,12,5,163,2.3153192491374233
2019,6,12,6,163,2.3260801738969734
2019,6,12,7,163,2.317013543502351
2019,6,12,8,163,2.274311679129984
2019,6,12,9,163,2.202242554448069
2019,6,12,10,163,2.1582652957811845
2019,6,12,11,163,2.138662069626466
2019,6,12,12,163,2.144755959266411
2019,6,12,13,163,2.1195834223395202
2019,6,12,14,163,2.114239203590609
2019,6,12,15,163,2.141267795929654
2019,6,12,16,163,2.1579913702342313
2019,6,12,17,163,2.1653587466091753
2019,6,12,18,163,2.1663449548805875
2019,6,12,19,163,2.1701707562522374
2019,6,12,20,163,2.1702440065377737
2019,6,12,21,163,2.1702386653711203
2019,6,12,22,163,2.182463069793779
2019,6,12,23,163,2.2023097005431436
2019,6,13,0,164,2.2264971737343346
2019,6,13,1,164,2.2496404488447315
2019,6,13,2,164,2.258662823858509
2019,6,13,3,164,2.2643679528684473
2019,6,13,4,164,2.2716086672913187
2019,6,13,5,164,2.277649145264727
2019,6,13,6,164,2.2798745041997925
2019,6,13,7,164,2.2853987965673133
2019,6,13,8,164,2.2993983758785133
2019,6,13,9,164,2.3197581401385348
2019,6,13,10,164,2.3258985742307483
2019,6,13,11,164,2.312595254144046
2019,6,13,12,164,2.2992266955217877
2019,6,13,13,164,2.282291000598679
2019,6,13,14,164,2.302820919167811
2019,6,13,15,164,2.336239072872273
2019,6,13,16,164,2.352678039296589
2019,6,13,17,164,2.349326838733309
2019,6,13,18,164,2.2980329447746906
2019,6,13,19,164,2.294976652913074
2019,6,13,20,164,2.3092516838188417
2019,6,13,21,164,2.3371039603582657
2019,6,13,22,164,2.3799584294921656
2019,6,13,23,164,2.401687821486952
2019,6,14,0,165,2.395740432418079
2019,6,14,1,165,2.3591522963046576
2019,6,14,2,165,2.3305789622669875
2019,6,14,3,165,2.3188783736882934
2019,6,14,4,165,2.3302233931726137
2019,6,14,5,165,2.360943113181256
2019,6,14,6,165,2.3537809902105744
2019,6,14,7,165,2.2844919427718993
2019,6,14,8,165,2.2789562050472636
2019,6,14,9,165,2.2986055941423453
2019,6,14,10,165,2.3367285526448924
2019,6,14,11,165,2.396610661070725
2019,6,14,12,165,2.4275268597098423
2019,6,14,13,165,2.4564756014608857
2019,6,14,14,165,2.4354710820833843
2019,6,14,15,165,2.498526606525311
2019,6,14,16,165,2.435165491048413
2019,6,14,17,165,2.3550571475289006
2019,6,14,18,165,2.3367037543711433
2019,6,14,19,165,2.3329180117493955
2019,6,14,20,165,2.316668275229381
2019,6,14,21,165,2.296000249351061
2019,6,14,22,165,2.2260347813068875
2019,6,14,23,165,2.112272128214439
2019,6,15,0,166,2.0461595488870885
2019,6,15,1,166,2.0073727596718696
2019,6,15,2,166,2.003387104812513
2019,6,15,3,166,2.0132583438123217
2019,6,15,4,166,2.027258304635425
2019,6,15,5,166,2.0296118515701793
2019,6,15,6,166,2.01915155819085
2019,6,15,7,166,2.024216128714251
2019,6,15,8,166,2.0436423333455895
2019,6,15,9,166,2.0642496988312
2019,6,15,10,166,2.070746846553498
2019,6,15,11,166,2.0590397722724383
2019,6,15,12,166,2.0374439094439936
2019,6,15,13,166,1.9911787238898149
